Training,ROUGH,TWI,SLOPE,SPI,LANDCOVER,ELEVATION,CURVE,ASPECT
1,0.492353,-0.885789,36.385073,-0.154815,6,2084.5,-0.714092,116.796082
1.00,0.493,7.57943,34.759033,0.881398,6,1998.5,0.405295,159.590118
1.00,0.563484,-3.898537,47.238759,-0.657489,6,1975.5,2.122976,168.215256
1.00,0.522536,0.93945,47.034856,0.296004,5,1866.5,1.601882,284.121002
1.00,0.500215,-1.037921,17.150052,0.030525,2,1984,-0.102932,40.763607
1.00,0.443609,23.377472,13.990901,0.248494,4,1709,-0.771991,147.994614
1.00,0.517803,-4.357568,54.525106,-1.378504,6,2117,3.280962,159.943909
1.00,0.488123,3.788774,41.854792,0.667646,2,2794.5,-1.080788,193.570435
1.00,0.486464,-1.938974,51.112359,-0.343089,6,1981,-0.167265,142.246155
1.00,0.44509,1.095558,36.167867,0.244571,1,1263,-2.341706,304.5401
1.00,0.508363,-3.846917,35.573853,-0.424749,4,1758,0.154398,295.529694
1.00,0.48854,0.173943,47.296953,-0.055628,6,1859,-0.733392,200.000732
1.00,0.471265,1.011577,55.094574,0.364216,6,1630,-0.521094,125.74897
1.00,0.486064,3.862437,49.158976,0.9354,6,1562,-3.145864,152.744675
1.00,0.435812,1.830836,45.491709,0.459648,6,1369,-1.486083,121.493645
1.00,0.481247,-5.249913,37.149536,-0.658634,4,2511.5,0.791291,218.558395
1.00,0.537495,-1.883165,48.343053,-0.465537,4,2541.5,1.138687,196.699249
1.00,0.482935,10.605288,32.270508,1.007001,4,1785,-0.681926,239.349335
1.00,0.472677,13.57039,23.765611,0.853806,5,2579,-0.913523,157.45694
1,0.491615,-4.26723,34.349341,0.008138,4,1734,0.514661,180.387131
1,0.480954,5.889826,29.266995,0.443103,4,1683,-0.064333,263.367493
1,0.495178,0.379736,36.766276,0.087532,2,2178,-0.308796,150.172913
1,0.503243,-7.264634,28.102468,-0.522555,4,1935.5,0.598293,239.534454
1,0.502118,-2.200204,38.72189,-0.364267,4,1810,-0.321663,163.072495
1,0.497123,-4.352071,41.128964,-0.636625,4,1761,1.44105,93.814072
1,0.479344,1.428827,39.90309,0.196004,5,2338,-0.501794,211.429565
1,0.538136,-1.613591,39.910597,-0.096109,5,1731,0.360263,257.106262
1,0.495648,-1.165347,44.76829,-0.286133,4,1824,-0.25733,220.174789
1,0.500783,2.942904,52.85985,0.725848,4,1550,-0.797724,220.852219
1,0.503122,2.107074,60.960775,0.779192,5,2671,0.192998,214.942047
1,0.474397,17.211152,19.82911,0.681277,4,1762,-0.135098,257.550018
1,0.459619,-1.610963,40.578354,-0.205665,4,2470,0.405295,239.127914
1,0.497677,-1.425833,36.071142,-0.110066,5,2695,0.328096,170.242035
1,0.528905,-6.671988,37.28421,-0.906908,5,2781.5,1.080788,177.026276
1,0.540564,-1.850319,52.037472,-0.441049,3,1607,0.566127,236.469528
1,0.512979,-0.393183,22.580738,0.016237,5,1758,-0.192998,264.685455
1,0.526177,-6.873357,42.903185,-1.168244,4,1697,1.14512,209.010361
1,0.482843,2.326034,38.476101,0.14843,2,1562,-0.990722,137.070038
1,0.464291,-2.07822,50.03791,-0.992817,4,2650,0.205864,216.622818
1,0.484837,2.057167,46.177124,0.542356,4,2671,-0.578993,182.935669
1,0.499136,-8.878024,29.268911,-0.720884,5,1804,0.913523,276.972778
1,0.487322,-5.377975,34.331278,-0.663141,6,2257,0.59186,273.680634
1,0.512123,3.527942,33.219899,0.210145,4,1519,-0.025733,127.942154
1,0.481058,-6.382028,42.745911,-1.082411,4,1561,1.016455,237.500183
1,0.531853,7.702455,12.14885,0.115823,4,2333,-0.283063,186.072464
1,0.475491,-1.998466,44.741297,-0.099972,4,1702,-0.521094,79.99202
1,0.544755,-4.765813,27.216962,-0.011819,5,1809.5,0.810591,239.167053
1,0.541223,-3.210907,40.340012,-0.350081,4,1463,0.482494,186.648651
1,0.516767,1.968869,53.632146,0.552708,4,1457.5,-0.328096,185.194427
1,0.47661,-3.368058,49.850667,-0.812206,4,1416,0.733392,252.311539
1,0.490779,-4.923355,41.294355,-0.726465,4,1142.5,0.135098,158.787384
1,0.472798,-2.564173,40.08037,-0.534966,2,1921,-0.33453,92.470055
1,0.567739,-6.717104,23.261475,-0.135738,4,1245,0.720525,159.274445
1,0.513322,10.106138,38.222059,1.557972,4,1222,-1.235186,166.739136
1,0.473027,2.892809,50.572815,0.768972,4,1283,-1.659781,156.008301
1,0.506411,1.741893,48.563131,0.319369,4,1291,-0.192998,178.376663
1,0.504591,-1.177258,41.298296,-0.09697,4,2435,1.389584,356.739838
1,0.488862,5.642347,36.162577,0.715603,4,1300,-1.132254,148.60054
1,0.480184,0.648852,56.334279,0.293948,4,1149,-0.759125,178.958374
1,0.443689,2.139515,49.053935,0.348951,5,1545,-1.370284,174.779343
1,0.523722,4.855046,38.901128,0.689832,4,1192.5,-1.640481,163.393021
1,0.496902,-3.081162,39.668516,-0.474077,4,1174.5,1.100087,165.36763
1,0.497639,-2.322497,26.016788,-0.091871,5,1523,0.244464,134.215179
1,0.490002,-2.248615,42.136756,-0.439684,5,1166,0.630459,166.195099
1,0.475529,-2.795784,35.988444,-0.13702,4,1125,-0.463195,141.387115
1,0.47596,-5.951181,24.738247,-0.352037,4,2697,0.334529,342.525238
1,0.499646,1.26625,37.323632,0.156174,5,1196,-0.33453,128.480194
1,0.479299,0.593927,31.168538,0.156156,4,2750,-0.102932,12.231501
1,0.531727,-2.033765,27.661735,0.053516,4,2238,0.900656,189.400787
1,0.484569,6.31533,36.272441,0.80191,4,2220,-1.492516,180
1,0.49479,7.499433,42.674035,1.219297,4,1240,-0.463195,239.470291
1,0.43056,-10.482901,22.469527,-0.440618,4,1060,0.154398,320.710602
1,0.447747,0.356603,32.578986,0.059472,4,2083,-0.59186,212.221268
1,0.442392,-2.231977,51.766123,-0.897676,4,2111,0.360263,213.99646
1,0.492952,-2.099018,30.270894,-0.259368,4,2067,1.338118,166.827454
1,0.51679,0.041677,53.062536,0.073608,4,2111,1.042188,185.710587
1,0.489947,-1.784854,43.050349,-0.111289,4,1526,0.482494,176.633545
1,0.524995,1.330786,48.591417,0.376488,4,1291,0.218731,134.641907
1,0.501159,5.718793,29.311744,0.509026,4,1515,-0.090066,315.629608
1,0.512576,-5.57523,30.723938,-0.469124,4,1958,0.540394,168.163223
1,0.473662,1.256432,43.260325,0.339455,4,1915,-0.360263,174.351746
1,0.490766,2.167147,45.65898,0.345118,4,1295,-1.865645,172.637405
1,0.521502,-13.624619,22.268009,-0.410167,4,1706,0.501794,45.674038
1,0.518576,0.477525,42.039954,-0.038226,4,2831,0.990722,315.567261
